,price,make,model,year,title_status,mileage,color,vin,state,country
54,19600,chrysler,300,2019,clean vehicle,42648.0,gray,  2c3ccabgxkh559658,sc, usa
55,12920,gmc,mpv,2017,clean vehicle,39165.0,silver,  1gks2bkc6hr134450,ca, usa
56,20000,jeep,cherokee,2019,clean vehicle,38355.0,charcoal,  1c4pjmbx6kd298806,nc, usa
57,18100,buick,door,2017,clean vehicle,46766.0,silver,  1g4zp5ss8hu149142,fl, usa
58,23000,chrysler,pacifica,2020,clean vehicle,2473.0,white,  2c4rc1fg5lr143335,oh, usa
59,18500,chrysler,300,2019,clean vehicle,38586.0,gray,  2c3ccaeg5kh585628,sc, usa
60,13490,gmc,door,2017,clean vehicle,27842.0,white,  1gks2gkc0hr323625,ca, usa
61,20700,jeep,cherokee,2019,clean vehicle,31156.0,white,  1c4pjmbx2kd360704,nc, usa
62,17800,chevrolet,door,2017,clean vehicle,52435.0,black,  1g1fb1rsxh0185712,fl, usa
63,6650,ford,door,2017,clean vehicle,29942.0,black,  1fmcu0gd8huc93883,tx, usa
64,29100,chrysler,pacifica,2019,clean vehicle,25281.0,red,  2c4rc1gg3kr730663,sc, usa
65,12710,gmc,door,2017,clean vehicle,32504.0,silver,  1gks2gkc6hr327937,ca, usa
66,21100,jeep,cherokee,2019,clean vehicle,28649.0,silver,  1c4pjmbx6kd298174,nc, usa
67,18600,chevrolet,door,2017,clean vehicle,35200.0,white,  1g1fb1rsxh0104806,fl, usa
68,4340,ford,door,2017,clean vehicle,25602.0,silver,  1fmcu0gd7huc86259,tx, usa
69,19300,chrysler,300,2019,clean vehicle,34801.0,gray,  2c3ccakg4kh594972,sc, usa
70,12780,gmc,door,2017,clean vehicle,31009.0,black,  1gks2gkc7hr321306,ca, usa
71,15800,jeep,compass,2019,clean vehicle,35595.0,charcoal,  3c4njccb4kt662767,nc, usa
72,29400,bmw,x3,2017,clean vehicle,23765.0,black,  5uxwx7c3xh0u44145,tn, usa
73,4430,ford,door,2017,clean vehicle,31792.0,black,  1fmcu0gd9huc37922,tx, usa
74,19400,chrysler,300,2019,clean vehicle,33135.0,gray,  2c3ccakg6kh578112,sc, usa
75,12520,gmc,door,2017,clean vehicle,30636.0,red,  1gks2gkcxhr323969,ca, usa
76,15900,jeep,compass,2019,clean vehicle,34502.0,red,  3c4njccb7kt660088,nc, usa
77,26400,buick,door,2017,clean vehicle,25434.0,white,  5gakvckd2hj308564,fl, usa
78,4140,ford,door,2017,clean vehicle,36732.0,black,  1fmcu0gd5hud08310,tx, usa
79,18300,chrysler,300,2019,clean vehicle,41792.0,gray,  2c3ccaeg0kh555632,sc, usa
80,12520,gmc,door,2017,clean vehicle,31992.0,black,  1gks2gkcxhr328718,ca, usa
81,17900,jeep,compass,2019,clean vehicle,32501.0,red,  3c4njddb7kt682015,nc, usa
82,18300,chevrolet,camaro,2017,clean vehicle,28395.0,black,  1g1fb3dx5h0143964,fl, usa
83,4640,ford,door,2017,clean vehicle,36139.0,blue,  1fmcu0g95huc13712,tx, usa
84,24000,ford,door,2016,clean vehicle,84413.0,black,  1ftfw1ef1gfb13670,pa, usa
85,13200,gmc,door,2017,clean vehicle,33457.0,white,  1gks2gkc5hr326410,ca, usa
86,18000,jeep,compass,2019,clean vehicle,29245.0,gray,  3c4njddb0kt686052,nc, usa
87,14900,chevrolet,equinox,2017,clean vehicle,12783.0,silver,  2gnalcek7h1548351,fl, usa
88,4140,ford,door,2017,clean vehicle,17617.0,white,  1fmcu0gd5huc78080,tx, usa
89,11500,ford,door,2016,clean vehicle,36855.0,black,  1fmcu9gx9gua57286,pa, usa
90,9110,ford,door,2017,clean vehicle,110316.0,white,  1ftfw1ef5hkc50264,tx, usa
91,7350,chrysler,door,2015,clean vehicle,88227.0,black,  1c3cccab7fn613884,pa, usa
92,24500,bmw,door,2017,clean vehicle,17626.0,gray,  wba4f9c51hg439932,mi, usa
93,9300,ford,door,2017,clean vehicle,120353.0,white,  1ftfw1ef4hkc50286,tx, usa
94,39800,dodge,challenger,2015,clean vehicle,3641.0,white,  2c3cdzc95fh757310,pa, usa
96,15110,ford,door,2017,clean vehicle,39333.0,black,  1ft7w2bt7hec41164,tx, usa
97,34000,ford,door,2015,clean vehicle,42930.0,white,  1ft8w3b61fec52078,pa, usa
98,26502,chevrolet,colorado,2017,clean vehicle,24993.0,black,  1gcgtcen4h1158648,mi, usa
99,5990,ford,mpv,2017,clean vehicle,44929.0,black,  1fm5k7b86hga87008,tx, usa
100,13600,ford,focus,2018,clean vehicle,16971.0,black,  1fadp3m26jl307477,sc, usa
101,23605,cadillac,door,2017,clean vehicle,35598.0,gray,  1gyknbrsxhz114969,mi, usa
102,10780,ford,mpv,2017,clean vehicle,40455.0,white,  1fm5k8ht0hga07252,tx, usa
103,13800,ford,focus,2018,clean vehicle,23164.0,white,  1fadp3j2xjl279400,sc, usa
104,25201,cadillac,door,2017,clean vehicle,19011.0,no_color,  1gyknbrs8hz257399,mi, usa
105,7070,ford,mpv,2017,clean vehicle,45191.0,white,  1fm5k7d82hgb39148,tx, usa
106,8700,ford,focus,2018,clean vehicle,21405.0,white,  1fadp3k23jl219764,sc, usa
107,18003,chevrolet,malibu,2017,clean vehicle,19117.0,no_color,  1g1zh5sx7hf141060,mi, usa
108,8530,ford,door,2017,clean vehicle,42104.0,black,  1fm5k7f80hga03159,tx, usa
109,23100,dodge,durango,2018,clean vehicle,49496.0,white,  1c4rdjdg2jc329601,sc, usa
110,24500,cadillac,door,2017,clean vehicle,32418.0,white,  1gykndrs1hz125239,mi, usa
111,7000,ford,mpv,2017,clean vehicle,29882.0,white,  1fm5k7d84hgc31359,tx, usa
112,17000,ford,escape,2018,clean vehicle,34819.0,gold,  1fmcu9hd6juc54783,sc, usa
113,34002,chevrolet,1500,2017,clean vehicle,31923.0,white,  3gcuktej3hg475034,mi, usa
114,6980,ford,mpv,2017,clean vehicle,29168.0,gray,  1fm5k7d8xhga68751,tx, usa
115,25000,dodge,charger,2018,clean vehicle,28307.0,silver,  2c3cdxjg6jh224431,mi, usa
116,20802,chevrolet,colorado,2017,clean vehicle,33791.0,turquoise,  1gcgtben3h1180134,mi, usa
117,9200,ford,door,2017,clean vehicle,21770.0,black,  1ftew1ep8hfa10123,tx, usa
118,26500,chrysler,pacifica,2017,clean vehicle,18375.0,gray,  2c4rc1eg2hr669530,mi, usa
119,24802,chevrolet,colorado,2017,clean vehicle,14158.0,gray,  1gcgtcen9h1202076,mi, usa
120,7070,ford,mpv,2017,clean vehicle,30318.0,black,  1fm5k7d82hgb21314,tx, usa
121,28500,ford,door,2017,clean vehicle,48086.0,red,  1ftew1ep2hkd15978,sc, usa
123,23500,ford,explorer,2017,clean vehicle,57611.0,black,  1fm5k8f80hgc67231,sc, usa
124,23505,chevrolet,colorado,2017,clean vehicle,47357.0,black,  1gcptce16h1176629,mi, usa
125,10940,ford,door,2017,clean vehicle,84916.0,white,  1ftew1ef1hke25038,tx, usa
126,32100,ford,f-150,2017,clean vehicle,24521.0,gray,  1ftfw1eg1hfb38806,sc, usa
128,6830,ford,mpv,2017,clean vehicle,35888.0,gold,  1fm5k7dh9hgb05630,tx, usa
129,11900,dodge,caravan,2017,clean vehicle,59537.0,gray,  2c4rdgcg3hr864989,sc, usa
130,26414,chevrolet,1500,2017,clean vehicle,55222.0,black,  3gcukrec3hg429109,mi, usa
131,4160,dodge,mpv,2018,clean vehicle,32870.0,gray,  3c4pdcab8jt166940,fl, usa
132,19405,chevrolet,door,2017,clean vehicle,39687.0,silver,  1gnkvgkd0hj145877,mi, usa
133,5690,dodge,mpv,2018,clean vehicle,47085.0,silver,  2c4rdgeg8jr337145,fl, usa
134,25900,chrysler,van,2017,clean vehicle,32224.0,silver,  2c4rc1gg4hr635019,sc, usa
135,24005,chevrolet,1500,2017,clean vehicle,51293.0,beige,  1gcukrecxhf153500,mi, usa
136,5090,dodge,mpv,2018,clean vehicle,42989.0,gray,  2c4rdgcg2jr218218,fl, usa
137,19500,chrysler,300,2017,clean vehicle,31311.0,gray,  2c3ccabg5hh538726,az, usa
138,32012,chevrolet,1500,2017,clean vehicle,46091.0,white,  3gcuksej6hg353147,mi, usa
139,6800,dodge,dart,2016,clean vehicle,49033.0,black,  1c3cdffh0gd823262,mi, usa
140,4260,dodge,mpv,2018,clean vehicle,33957.0,gray,  3c4pdcabxjt311007,fl, usa
142,31802,chevrolet,2500,2017,clean vehicle,19845.0,silver,  1gc1kveg3hf189737,mi, usa
143,7210,dodge,doors,2018,clean vehicle,38910.0,black,  2c3cdxct1jh233225,fl, usa
145,28402,chevrolet,1500,2017,clean vehicle,31234.0,black,  3gcukrec4hg196549,mi, usa
146,6800,dodge,doors,2018,clean vehicle,36767.0,gray,  2c3cdxhgxjh125388,fl, usa
147,33300,cadillac,esv,2015,clean vehicle,57932.0,gray,  1gys4tkj0fr538846,wa, usa
148,10780,dodge,mpv,2018,clean vehicle,19420.0,white,  1c4sdjct1jc174166,fl, usa
150,20000,chevrolet,1500,2016,clean vehicle,93493.0,white,  3gcuknec9gg342967,wa, usa
151,6440,chrysler,doors,2018,clean vehicle,20942.0,gray,  2c3ccakg8jh168457,fl, usa
152,19900,ford,door,2016,clean vehicle,86826.0,gray,  1fm5k8f8xggc51519,sc, usa
153,37000,chevrolet,door,2015,clean vehicle,45787.0,white,  1gc1kwegxff145382,wa, usa
154,4040,dodge,mpv,2018,clean vehicle,50765.0,red,  3c4pdcab6jt273002,fl, usa
155,22300,ford,explorer,2016,clean vehicle,62774.0,black,  1fm5k8fh9ggc37790,sc, usa
156,31200,chevrolet,door,2011,clean vehicle,76326.0,gray,  1gc1kxc86bf208814,wa, usa
157,4290,dodge,mpv,2018,clean vehicle,39029.0,white,  3c4pdcab0jt474412,fl, usa
158,22800,ford,el,2016,clean vehicle,72885.0,silver,  1fmjk1ht3gef52975,sc, usa
159,19002,cadillac,door,2016,clean vehicle,46467.0,white,  1g6ah1rx1g0193887,mi, usa
160,4160,dodge,mpv,2018,clean vehicle,6743.0,gray,  3c4pdcab8jt384019,fl, usa
161,18500,ford,edge,2016,clean vehicle,33514.0,white,  2fmpk3j98gbb59781,sc, usa
162,39000,bmw,series,2016,clean vehicle,39917.0,blue,  wba7f2c57gg421020,mi, usa
163,6060,dodge,doors,2018,clean vehicle,32504.0,black,  3c4pddgg1jt523058,fl, usa
164,28800,ford,door,2016,clean vehicle,77638.0,white,  1ftew1ep1gfc64335,sc, usa
165,40000,bmw,series,2016,clean vehicle,31727.0,gray,  wba7f2c55gg415264,mi, usa
166,6140,dodge,doors,2018,clean vehicle,52966.0,silver,  2c3cdxbg0jh187083,fl, usa
167,21000,ford,flex,2016,clean vehicle,24157.0,gray,  2fmhk6c89gba05297,sc, usa
168,20105,buick,door,2016,clean vehicle,51393.0,beige,  5gakvbkd8gj196085,mi, usa
169,6760,dodge,doors,2018,clean vehicle,35461.0,white,  2c3cdzag7jh321665,fl, usa
170,25800,ford,door,2014,clean vehicle,47055.0,brown,  1ft7x2b62eea29551,pa, usa
171,39000,bmw,series,2016,clean vehicle,33110.0,black,  wba7f2c57gg419607,mi, usa
172,5470,dodge,mpv,2018,clean vehicle,39721.0,black,  3c4pdcgg9jt216280,fl, usa
173,14600,ford,door,2014,clean vehicle,75785.0,black,  1fm5k8f81egb23411,pa, usa
174,24502,chevrolet,1500,2016,clean vehicle,33624.0,black,  3gcuknec6gg150809,mi, usa
175,15110,ford,door,2017,clean vehicle,42289.0,white,  1ft7w2bt7hec67263,tx, usa
176,7900,ford,door,2014,clean vehicle,79422.0,white,  1fmcu0g9xeud52262,ny, usa
177,27305,chevrolet,door,2016,clean vehicle,28844.0,blue,  3gcukrec5gg383569,mi, usa
178,15290,ford,door,2017,clean vehicle,66582.0,white,  1ft7w2bt0hef21363,tx, usa
179,26500,ford,door,2015,clean vehicle,61436.0,silver,  1ftew1cf3fke12825,sc, usa
180,25502,chevrolet,door,2016,clean vehicle,58303.0,silver,  3gcukrec0gg380000,mi, usa
181,7320,ford,mpv,2017,clean vehicle,55618.0,white,  1fmzk1cmxhkb51025,tx, usa
183,24502,chevrolet,door,2016,clean vehicle,33045.0,white,  3gcukrec4gg223800,mi, usa
184,4140,ford,door,2017,clean vehicle,40747.0,white,  3fa6p0h73hr358945,tx, usa
186,18402,cadillac,srx,2016,clean vehicle,26667.0,gray,  3gyfnae36gs538333,mi, usa
187,4160,ford,door,2017,clean vehicle,37176.0,white,  3fa6p0hd3hr199785,tx, usa
189,24503,chevrolet,colorado,2016,clean vehicle,18006.0,brown,  1gchtde32g1339478,mi, usa
190,15840,ford,door,2017,clean vehicle,72445.0,white,  1ft7w2bt8hec67434,tx, usa
191,20500,ford,door,2014,clean vehicle,123355.0,black,  1ftfw1et9efb99877,sc, usa
192,21003,chevrolet,1500,2016,clean vehicle,44116.0,silver,  1gcvknec1gz396932,mi, usa
193,4200,ford,door,2017,clean vehicle,60219.0,red,  3fa6p0hd7hr273550,tx, usa
195,32001,chevrolet,door,2016,clean vehicle,32058.0,black,  3gcuktec5gg350066,mi, usa
198,31009,chevrolet,door,2016,clean vehicle,33928.0,white,  3gcuksec3gg369662,mi, usa
199,3740,ford,wagon,2017,clean vehicle,90618.0,white,  nm0ls7e76h1312963,tx, usa
201,31002,chevrolet,door,2016,clean vehicle,71809.0,white,  1gc1kve82gf207345,mi, usa
202,3160,ford,doors,2017,clean vehicle,31563.0,gray,  1fadp3e24hl348263,tx, usa
204,6000,chevrolet,malibu,2018,clean vehicle,42090.0,gray,  1g1zb5st8jf226848,tx, usa
207,13200,buick,encore,2017,clean vehicle,60171.0,black,  kl4cjcsb1hb024411,tx, usa
210,22500,chevrolet,camaro,2020,clean vehicle,13826.0,green,  1g1fb1rx6l0109117,ga, usa
211,7420,ford,mpv,2017,clean vehicle,55854.0,white,  1fmzk1cm1hkb51026,tx, usa
212,13500,ford,door,2016,clean vehicle,45757.0,silver,  1fatp8uhxg5296168,az, usa
213,15500,chevrolet,trax,2020,clean vehicle,16545.0,white,  3gncjlsb1ll142267,ga, usa
214,3540,ford,door,2017,clean vehicle,112893.0,white,  3fa6p0g73hr140652,tx, usa
217,4130,ford,door,2017,clean vehicle,34061.0,silver,  3fa6p0hd8hr305132,tx, usa
218,15700,ford,door,2015,clean vehicle,70251.0,white,  1ftew1cg0ffa89853,az, usa
220,4130,ford,doors,2017,clean vehicle,42426.0,gray,  3fa6p0lu4hr246569,tx, usa
221,15500,dodge,door,2012,clean vehicle,66452.0,black,  1c6rd7lt4cs187334,pa, usa
222,16300,chevrolet,trax,2020,clean vehicle,18221.0,white,  3gncjlsb4ll149763,ga, usa
223,4530,ford,mpv,2017,clean vehicle,41455.0,white,  1fmzk1cm7hkb51015,tx, usa
224,15600,dodge,door,2011,clean vehicle,35275.0,black,  1d7rw3gp7bs614101,pa, usa
226,4100,ford,door,2017,clean vehicle,38815.0,gray,  3fa6p0hd2hr178393,tx, usa
228,10200,chevrolet,door,2013,clean vehicle,56479.0,black,  2g1fc3d32d9188287,tx, usa
229,4080,ford,doors,2017,clean vehicle,61027.0,black,  3fa6p0luxhr231039,tx, usa
232,5000,ford,door,2017,clean vehicle,37321.0,white,  3fa6p0k93hr257687,tx, usa
234,6200,bmw,door,2011,clean vehicle,80394.0,gray,  wbaph7g58bnn05983,tx, usa
235,3650,ford,door,2016,clean vehicle,68142.0,white,  1fmcu0f78gub36672,tx, usa
236,10500,dodge,door,2014,clean vehicle,74203.0,white,  2c3cdxct3eh230364,az, usa
238,4610,dodge,van,2016,clean vehicle,87229.0,silver,  2c4rdgbg2gr345223,tx, usa
239,3450,ford,door,2012,clean vehicle,90711.0,white,  3fahp0ha5cr389742,fl, usa
240,38500,chevrolet,suburban,2018,clean vehicle,11135.0,silver,  1gnschkc6jr269601,ga, usa
241,6810,ford,mpv,2016,clean vehicle,66781.0,silver,  2fmpk3k95gbb76939,tx, usa
244,4450,ford,mpv,2016,clean vehicle,32486.0,white,  2fmpk3g96gbc42228,tx, usa
246,16500,chevrolet,equinox,2018,clean vehicle,18020.0,silver,  2gnaxjev9j6276848,ga, usa
247,4240,dodge,mpv,2016,clean vehicle,83262.0,white,  3c4pdcbb9gt181387,tx, usa
248,26500,ford,pickup,2008,clean vehicle,62015.0,white,  1ftxw43r18eb10682,pa, usa
249,13700,chevrolet,equinox,2017,clean vehicle,36421.0,silver,  2gnalcek6h6289807,ga, usa
250,8600,ford,door,2016,clean vehicle,73321.0,white,  1ftew1cf8gkd34592,tx, usa
252,14200,chevrolet,equinox,2017,clean vehicle,28013.0,silver,  2gnalcek6h6288804,ga, usa
253,7040,ford,mpv,2016,clean vehicle,33291.0,silver,  2fmpk3k80gbc65759,tx, usa
255,30851,chevrolet,door,2016,clean vehicle,43176.0,red,  3gcuksec6gg284475,ga, usa
256,4880,ford,mpv,2016,clean vehicle,36876.0,silver,  2fmpk4g97gbc51848,tx, usa
257,14500,dodge,pickup,2006,clean vehicle,111782.0,silver,  1d7ks28c96j246101,pa, usa
258,7600,chevrolet,door,2017,clean vehicle,110489.0,brown,  1g1ze5st0hf155999,ne, usa
259,13270,ford,door,2016,clean vehicle,84035.0,white,  1ft7w2btxgeb64448,tx, usa
261,33000,chevrolet,1500,2018,clean vehicle,52521.0,white,  3gcukreh0jg303596,ontario, canada
262,9280,ford,door,2016,clean vehicle,101380.0,white,  1ftfw1ef9gkf57726,tx, usa
264,7560,ford,door,2016,clean vehicle,111476.0,gray,  1ftfx1ef7gkd59790,tx, usa
265,19500,ford,drw,2011,clean vehicle,76897.0,white,  1fd8w3gt0beb32874,pa, usa
266,17100,chevrolet,malibu,2019,clean vehicle,15780.0,white,  1g1zd5st5kf112138,wa, usa
267,8020,ford,door,2016,clean vehicle,31944.0,white,  1ftew1cp2gke43168,tx, usa
268,10300,ford,fiesta,2019,clean vehicle,18937.0,black,  3fadp4bjxkm123238,mo, usa
269,22600,chevrolet,van,2019,clean vehicle,9706.0,white,  1gcwgafgxk1243764,wa, usa
270,10480,ford,doors,2016,clean vehicle,57289.0,gray,  wf0dp3th0g4113219,tx, usa
271,10300,ford,fiesta,2019,clean vehicle,19956.0,silver,  3fadp4bj4km123235,mo, usa
272,22700,chevrolet,van,2019,clean vehicle,6075.0,white,  1gcwgafg4k1252945,wa, usa
273,7410,ford,door,2016,clean vehicle,21034.0,gray,  1ftex1ep1gfd60365,tx, usa
274,10300,ford,fiesta,2019,clean vehicle,22881.0,gray,  3fadp4bj7km123231,mo, usa
276,7570,ford,door,2016,clean vehicle,37252.0,white,  1ftfx1ef0gkf25969,tx, usa
278,18900,chevrolet,impala,2019,clean vehicle,27601.0,white,  1g11z5s37ku129047,tx, usa
279,12560,ford,doors,2019,clean vehicle,15958.0,white,  1fd8w3ht1kee23298,fl, usa
280,33000,dodge,durango,2019,clean vehicle,32251.0,white,  1c4sdjct6kc717612,oh, usa
281,18300,chevrolet,impala,2019,clean vehicle,25809.0,black,  2g11z5s33k9132248,tx, usa
282,11760,ford,cab,2017,clean vehicle,30553.0,white,  1fd8w3ht4hed36245,tx, usa
283,31700,dodge,durango,2019,clean vehicle,26549.0,red,  1c4sdjct5kc744865,oh, usa
286,7340,ford,doors,2019,clean vehicle,15854.0,gray,  1fatp8uh7k5172626,fl, usa
287,8200,hyundai,door,2017,clean vehicle,56690.0,white,  5npd84lf6hh128808,ct, usa
288,3000,kia,door,2013,clean vehicle,97142.0,silver,  knagm4a75d5378293,mo, usa
289,6530,jeep,mpv,2019,clean vehicle,10185.0,black,  3c4njdcb3kt659526,ga, usa
291,12700,kia,soul,2019,clean vehicle,23514.0,silver,  kndjp3a55k7006351,ca, usa
292,13800,kia,sorento,2017,clean vehicle,86959.0,gray,  5xyphda50hg232046,nc, usa
295,7400,ford,doors,2019,clean vehicle,16482.0,gray,  1fatp8uh2k5188622,fl, usa
296,9800,hyundai,elantra,2017,clean vehicle,35687.0,red,  kmhd84lf5hu191402,ct, usa
298,4400,jeep,mpv,2019,clean vehicle,17911.0,green,  3c4njcbbxkt664931,ga, usa
299,10330,infiniti,mpv,2019,clean vehicle,21278.0,blue,  5n1dl0mm9kc550722,fl, usa
303,22800,ford,door,2017,clean vehicle,67217.0,red,  1ftew1ep3hfb25518,mi, usa
304,2500,ford,door,2017,salvage insurance,78698.0,black,  1fmcu9gd2huc27625,ca, usa
306,9190,gmc,mpv,2017,clean vehicle,41961.0,black,  1gkknxls3hz174527,va, usa
307,10900,jeep,mpv,2019,clean vehicle,13273.0,red,  1c4hjxeg1kw609998,mi, usa
308,10400,infiniti,mpv,2019,clean vehicle,31713.0,black,  5n1dl0mm1kc552741,fl, usa
312,22809,ford,f-150,2017,clean vehicle,50732.0,black,  1ftfx1ef5hke41700,mi, usa
315,5520,gmc,mpv,2017,clean vehicle,52904.0,silver,  2gkfltek8h6226257,va, usa
316,10900,jeep,mpv,2019,clean vehicle,14195.0,orange,  1c4hjxeg1kw608401,mi, usa
317,6330,jeep,mpv,2019,clean vehicle,43965.0,red,  1c4pjldbxkd300679,fl, usa
320,2320,dodge,door,2007,clean vehicle,112182.0,red,  2b3ka43g67h630568,fl, usa
321,23702,ford,door,2017,clean vehicle,49024.0,black,  1ftew1ep4hkc08477,mi, usa
324,5520,gmc,mpv,2017,clean vehicle,35821.0,silver,  2gkfltek8h6338184,va, usa
325,4050,heartland,pioneer,2018,clean vehicle,1.0,gray,  5sfpb3326je365727,pa, usa
326,14810,infiniti,mpv,2019,clean vehicle,32611.0,brown,  jn8az2ne0k9233910,fl, usa
329,24800,ford,door,2017,clean vehicle,46955.0,gray,  1ftew1ef3hfc22483,mi, usa
332,6270,gmc,mpv,2017,clean vehicle,70443.0,black,  2gkfluek3h6232330,va, usa
334,10050,infiniti,mpv,2019,clean vehicle,18229.0,gray,  5n1dl0mm3kc557634,fl, usa
336,26900,chevrolet,traverse,2018,clean vehicle,42941.0,black,  1gnevhkw8jj148388,mo, usa
338,27003,ford,door,2017,clean vehicle,57186.0,black,  1ftew1ef4hfa16802,mi, usa
341,5600,gmc,mpv,2017,clean vehicle,59808.0,black,  2gkfltek3h6256220,va, usa
342,6680,heartland,country,2011,clean vehicle,1.0,gray,  5sfbg3524be216811,pa, usa
343,10120,infiniti,mpv,2019,clean vehicle,20681.0,white,  5n1dl0mm2kc556913,fl, usa
345,3920,ford,door,2015,clean vehicle,102700.0,white,  1ftmf1c85fkd31564,ga, usa
346,23100,ford,door,2017,clean vehicle,53270.0,black,  1ftew1epxhfb71427,mi, usa
348,5630,gmc,mpv,2017,clean vehicle,27195.0,black,  2gkfltek2h6218025,va, usa
350,2800,jaguar,doors,2019,clean vehicle,20849.0,black,  sajbd4fx6kcy78964,fl, usa
353,18712,ford,f-150,2017,clean vehicle,67347.0,black,  1ftex1e83hfb13813,mi, usa
356,6300,gmc,mpv,2017,clean vehicle,117400.0,blue,  2gkfluek6h6317310,va, usa
357,2220,heartland,country,2010,clean vehicle,1.0,white,  5sfbg3823ae204868,pa, usa
358,6930,jeep,mpv,2019,clean vehicle,47798.0,red,  1c4pjmdx4kd197521,fl, usa
360,3440,ford,door,2015,clean vehicle,124542.0,white,  1fadp5au3fl108248,ga, usa
